Id,Label,Publication,V,P,DOI,Title,Publication_Year,Document_Type,WoS_ID,Citation_context,Explanans,Explanadum,Combined_Title_Classification,Serum_cholesterol _(SC),Blood_Pressure_(BP),Coffee_(C) ,Diet_(D),Smoking_(S),Alcohol_(A),Physical_Activity_(PA),Body_Fatness_(BF),Indegree,Outdegree,Main_component,Cluster,Cluster_Name
15,THOMAS CB, B JOHNS HOPKINS HOSP, V115, P245,,PRECURSORS OF HYPERTENSION + CORONARY DISEASE AMONG HEALTHY MEDICAL STUDENTS - DISCRIMINANT FUNCTION ANALYSIS .2. USING PARENTAL HISTORY AS CRITERION,1964,Article,WOS:A19646364A00006,Inaccessible,,,,,,,,,,,,2,2,Yes,7,Psychosocial
16,DENBOROU.MA, AUSTRALAS ANN MED, V13, P328,,FAMILY STUDY OF ISCHAEMIC HEART DISEASE,1964,Article,WOS:A19645936700006,Inaccessible,,,,,,,,,,,,0,1,No,,
17,SHOCK NW, J GERONTOL, V19, P101,,ORGAN SYSTEMS,1964,Review,WOS:A1964AZ85000015,Inaccessible,,,,,,,,,,,,0,1,No,,
18,HEYDENST.S, SCHWEIZ MED WSCHR, V95, P1045,,MYOKARDINFARKT UND PSYCHISCHER STRESS,1965,Article,WOS:A19656631400004,Foreign,,,,,,,,,,,,0,1,No,,
19,EPSTEIN FH, J CHRON DIS, V18, P735, 10.1016/0021-9681(65)90017-2,EPIDEMIOLOGY OF CORONARY HEART DISEASE - A REVIEW,1965,Meeting Abstract,WOS:A19656782000004,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,C,D,S,,,,37,3,Yes,1,Blood pressure and Unspecified CHD 
20,LITTLE JA, LANCET, V1, P933,,DIET AND SERUM-LIPIDS IN MALE SURVIVORS OF MYOCARDIAL INFARCTION,1965,Article,WOS:A19656391800004,Yes,DIET,CHD,DIET,,,C,,,,,,28,2,Yes,2,Caffeine 
21,OSTRANDER LD, ANN INTERN MED, V62, P1188, 10.7326/0003-4819-62-6-1188,RELATIONSHIP OF CARDIOVASCULAR DISEASE TO HYPERGLYCEMIA,1965,Review,WOS:A19656511500006,Yes,BLOOD GLUCOSE,CHD,Unspecified CHD,SC,,,D,,,,,25,2,Yes,1,Blood pressure and Unspecified CHD 
22,BELLET S, ARCH INTERN MED, V116, P750, 10.1001/ARCHINTE.1965.03870050104015,EFFECT OF CAFFIENE ON FREE FATTY ACIDS - A PRELIMINARY REPORT,1965,Article,WOS:A19656988000015,Yes,CAFFEINE,BLOOD LIPIDS,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,24,1,Yes,2,Caffeine 
23,PAPP OA, LANCET, V2, P259,,DIETARY INTAKE IN PATIENTS WITH AND WITHOUT MYOCARDIAL INFARCTION,1965,Article,WOS:A19656689000004,Yes,DIET,CHD,DIET,,,,D,,,,,8,2,Yes,3,Diet 
24,STULB SC, AM J CLIN NUTR, V16, P238,,RELATIONSHIP OF NUTRIENT INTAKE AND EXERCISE TO SERUM CHOLESTEROL LEVELS IN WHITE MALES IN EVANS COUNTY GEORGIA,1965,Article,WOS:A19656150700004,Yes,DIET,BLOOD LIPIDS,DIET|BLOOD LIPIDS,,,,,,,,,9,1,Yes,3,Diet 
25,OSTRANDER LD, CIRCULATION, V31, P888, 10.1161/01.CIR.31.6.888,ELECTROCARDIOGRAPHIC FINDINGS AMONG ADULT POPULATION OF A TOTAL NATURAL COMMUNITY TECUMSEH MICHIGAN,1965,Article,WOS:A19656520800011,Yes,ECG,UNSPECIFIED,,,,,,,,,,8,1,Yes,1,Blood pressure and Unspecified CHD 
26,KANNEL WB, AM J PUBLIC HEALTH N, V55, P1355, 10.2105/AJPH.55.9.1355,VASCULAR-DISEASE OF THE BRAIN - EPIDEMIOLOGIC ASPECTS - THE FRAMINGHAM-STUDY,1965,Article,WOS:A1965CAX3700005,Yes,UNSPECIFIED,STROKE,,SC,,,,,,,,5,1,Yes,3,Diet 
27,KERSHBAUM A, AM HEART J, V69, P206, 10.1016/0002-8703(65)90038-4,ELEVATION OF SERUM CHOLESTEROL AFTER ADMINISTRATION OF NICOTINE,1965,Article,WOS:A19656132300009,Yes,SMOKING,BLOOD LIPIDS,SMOKING|BLOOD LIPIDS,,,,,S,,,,4,1,Yes,8,Smoking
28,OLIVER MF, BMJ-BRIT MED J, V2, P1203, 10.1136/BMJ.2.5472.1203,PRESENT POSITION CONCERNING PREVENTION OF HEART DISEASE,1965,Article,WOS:A19656996300010,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,PA,,3,1,Yes,1,Blood pressure and Unspecified CHD 
29,DOAN AE, AM HEART J, V69, P11, 10.1016/0002-8703(65)90211-5,MYOCARDIAL ISCHEMIA AFTER MAXIMAL EXERCISE IN HEALTHY MEN - A METHOD FOR DETECTING POTENTIAL CORONARY HEART DISEASE,1965,Article,WOS:A19656046200003,Yes,METHOD,CHD,Unspecified CHD,,,,,,,,,1,1,Yes,1,Blood pressure and Unspecified CHD 
30,LITTLE JA, LANCET, V2, P184,,DIET AND MYOCARDIAL INFARCTION,1965,Letter,WOS:A19656647700044,Yes,DIET,CHD,DIET,,,C,D,,,,,1,4,Yes,2,Caffeine 
31,WEINER JM, ANN NY ACAD SCI, V126, P743, 10.1111/J.1749-6632.1965.TB14320.X,USE OF CORRELATION STRUCTURE ANALYSIS IN ESTIMATING SURVIVAL BENEFIT,1965,Article,WOS:A19656767700008,Yes,METHOD,UNSPECIFIED,,SC,,,D,,,PA,,0,1,No,,
32,ZUKEL MC, AM J CLIN NUTR, V16, P270,,FAT-CONTROLLED DIETS,1965,Article,WOS:A19656150700009,Yes,DIET,UNSPECIFIED,DIET,,,,,,,,,0,1,No,,
33,ROSS DC, B JOHNS HOPKINS HOSP, V117, P37,,PRECURSORS OF HYPERTENSION AND CORONARY DISEASE AMONG HEALTHY MEDICAL STUDENTS - DISCRIMINANT FUNCTION ANALYSIS .3. USING ETHNIC ORIGIN AS CRITERION WITH OBSERVATIONS ON PARENTAL HYPERTENSION AND CORONARY DISEASE AND ON RELIGION,1965,Article,WOS:A19656655900005,Inaccessible,,,,,,,,,,,,2,4,Yes,7,Psychosocial
34,ALBRINK MJ, J AM DIET ASSOC, V46, P26,,DIET AND CARDIOVASCULAR DISEASE,1965,Article,WOS:A19656034800003,Inaccessible,,,,,,,,,,,,1,1,Yes,3,Diet 
35,SHARP JT, AM REV RESPIR DIS, V91, P510,,PREVALENCE OF CHRONIC BRONCHITIS IN AN AMERICAN MALE URBAN INDUSTRIAL POPULATION,1965,Article,WOS:A19656332200004,Inaccessible,,,,,,,,,,,,1,1,No,,
36,STAMLER J, J REHABIL, V32, P18,,CORONARY PRONE,1966,Article,WOS:A1966ZK88900002,Error,,,,,,,,,,,,0,1,No,,
37,HEYDEN S, PATHOL MICROBIOL, V29, P291, 10.1159/000161913,DIE BEEINFLUSSUNG DES CHOLESTERINSPIEGELS DURCH COFFEIN IM TIERVERSUCH,1966,Article,WOS:A19667624300005,Foreign,,,,,,,,,,,,6,1,Yes,2,Caffeine 
38,VILLIGER U, SCHWEIZ MED WSCHR, V96, P748,,DAS INFARKTPROFIL,1966,Article,WOS:A19667822700003,Foreign,,,,,,,,,,,,1,1,Yes,8,Smoking
39,CZOK G, Z ERNAHRUNGSWISS, VS, P1,,EIN BEITRAG ZUR ERNAHRUNGSPHYSIOLOGISCHEN BEDEUTUNG DES KAFFEEGETRANKS,1966,Article,WOS:A19667883900001,Foreign,,,,,,,,,,,,0,1,No,,
40,ZIEGLER E, HELV PAEDIATR ACTA, V21, P7,,DIE URSACHE DER AKZELERATION - ERNAHRUNGSPHYSIOLOGISCHE UND MEDIZINHISTORISCHE BETRACHTUNGEN UBER DEN ZUCKERKONSUM DES MODERNEN MENSCHEN,1966,Article,WOS:A19667706200001,Foreign,,,,,,,,,,,,0,1,No,,
41,STRASSLE B, SCHWEIZ MED WSCHR, V96, P1548,,PROSPEKTIVE EKG-KONTROLLEN WAHREND 10 JAHREN,1966,Article,WOS:A19668478900003,Foreign,,,,,,,,,,,,0,2,Yes,1,Blood pressure and Unspecified CHD 
42,MORRIS JN, LANCET, V2, P553, 10.1016/S0140-6736(66)93034-0,INCIDENCE AND PREDICTION OF ISCHAEMIC HEART-DISEASE IN LONDON BUSMEN,1966,Article,WOS:A19668223200001,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,,,,,58,2,Yes,5,Physical activity 
43,LITTLE JA, LANCET, V1, P732,,COFFEE AND SERUM-LIPIDS IN CORONARY HEART-DISEASE,1966,Article,WOS:A19667516100003,Yes,CAFFEINE|BLOOD LIPIDS,CHD,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,29,3,Yes,2,Caffeine 
44,LEREN P, ACTA MED SCAND, VS, P5,,EFFECT OF PLASMA CHOLESTEROL LOWERING DIET IN MALE SURVIVORS OF MYOCARDIAL INFARCTION - A CONTROLLED CLINICAL TRIAL,1966,Article,WOS:A19669303700001,Yes,DIET,CHD,DIET,SC,,,,,,,,24,2,Yes,3,Diet 
45,PAFFENBA.RS, AM J EPIDEMIOL, V83, P314, 10.1093/OXFORDJOURNALS.AJE.A120587,CHRONIC DISEASE IN FORMER COLLEGE STUDENTS .I. EARLY PRECURSORS OF FATAL CORONARY HEART DISEASE,1966,Article,WOS:A19667894400014,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,C,,,,,,16,1,Yes,7,Psychosocial
46,CHAPMAN JM, AM J PUBLIC HEALTH N, V56, P191, 10.2105/AJPH.56.2.191,EPIDEMIOLOGY OF VASCULAR LESIONS AFFECTING CENTRAL NERVOUS SYSTEM - OCCURRENCE OF STROKES IN A SAMPLE POPULATION UNDER OBSERVATION FOR CARDIOVASCULAR DISEASE,1966,Article,WOS:A19667346900006,Yes,UNSPECIFIED,STROKE,,SC,BP,,,,,,,4,2,Yes,0,Serum cholesterol and Unspecified CHD 
47,GARRETT HL, J CHRON DIS, V19, P899, 10.1016/0021-9681(66)90006-3,PHYSICAL CONDITIONING AND CORONARY RISK FACTORS,1966,Article,WOS:A19668379600006,Yes,EXERCISE,CHD,EXERCISE,SC,BP,,,,,,BF,4,1,Yes,5,Physical activity 
48,CHAPMAN JM, AM J EPIDEMIOL, V83, P537, 10.1093/OXFORDJOURNALS.AJE.A120605,RELATIONSHIPS OF STRESS TRANQUILIZERS AND SERUM CHOLESTEROL LEVELS IN A SAMPLE POPULATION UNDER STUDY FOR CORONARY HEART DISEASE,1966,Article,WOS:A19667894500013,Yes,PSYCHOSOCIAL,BLOOD LIPIDS,PSYCHOSOCIAL|BLOOD LIPIDS,SC,BP,,,,,,,2,2,Yes,0,Serum cholesterol and Unspecified CHD 
49,CHAPMAN JM, AM J EPIDEMIOL, V84, P483, 10.1093/OXFORDJOURNALS.AJE.A120661,PROBLEMS OF MEASUREMENT IN BLOOD PRESSURE SURVEYS INTER-OBSERVER DIFFERENCES IN BLOOD PRESSURE DETERMINATIONS,1966,Article,WOS:A19668651000008,Yes,UNSPECIFIED,HYPERTENSION,HYPERTENSION,,BP,,,,,,,2,1,Yes,4,Body fatness and Unspecified CHD 
50,HASS GM, AM J PATHOL, V49, P739,,PRODUCTION OF CALCIFIC ATHERO-ARTERIOSCLEROSIS AND THROMBOARTERITIS WITH NICOTINE VITAMIN D AND DIETARY CHOLESTEROL,1966,Article,WOS:A19668347300007,Yes,DIET|SMOKING,CHD,DIET|SMOKING,,,,,S,,,,2,2,Yes,8,Smoking
51,IBRAHIM MA, J CHRON DIS, V19, P255, 10.1016/0021-9681(66)90131-7,PERSONALITY TRAITS AND CORONARY HEART DISEASE - UTILIZATION OF A CROSS-SECTIONAL STUDY DESIGN TO TEST WHETHER A SELECTED PSYCHOLOGICAL PROFILE PRECEDES OR FOLLOWS MANIFEST CORONARY HEART DISEASE,1966,Article,WOS:A19667534300005,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,SC,BP,,,,,,,2,2,Yes,7,Psychosocial
52,KEITH RA, J CHRON DIS, V19, P1231, 10.1016/0021-9681(66)90021-X,PERSONALITY AND CORONARY HEART DISEASE - A REVIEW,1966,Review,WOS:A19668828800010,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,,,2,3,Yes,1,Blood pressure and Unspecified CHD 
53,KEYS A, ANN NY ACAD SCI, V134, P1046, 10.1111/J.1749-6632.1966.TB43085.X,INDIVIDUAL RISK OF CORONARY HEART DISEASE,1966,Article,WOS:A19667657400055,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,,,,,,,,2,2,Yes,1,Blood pressure and Unspecified CHD 
54,OSTRANDER LD, CIRCULATION, V34, P1069, 10.1161/01.CIR.34.6.1069,SERIAL ELECTROCARDIOGRAPHIC FINDINGS IN A PROSPECTIVE EPIDEMIOLOGICAL STUDY,1966,Article,WOS:A19668641500013,Yes,ECG,CHD,Unspecified CHD,,,,,,,,,2,2,Yes,1,Blood pressure and Unspecified CHD 
55,THOMAS CB, ANN NY ACAD SCI, V134, P1028, 10.1111/J.1749-6632.1966.TB43083.X,PRECURSORS OF HYPERTENSION AND CORONARY ARTERY DISEASE - INSIGHTS FROM STUDIES OF BIOLOGICAL VARIATION,1966,Article,WOS:A19667657400052,Yes,UNSPECIFIED,CHD|HYPERTENSION,HYPERTENSION,SC,,,,,,,,2,3,Yes,7,Psychosocial
56,YUDKIN J, ANGIOLOGY, V17, P127, 10.1177/000331976601700210,DIETETIC ASPECTS OF ATHEROSCLEROSIS,1966,Article,WOS:A19667352700010,Yes,DIET,CHD,DIET,,,C,D,,,,,2,2,Yes,2,Caffeine 
57,YUDKIN J, BRIT J NUTR, V20, P807, 10.1079/BJN19660082,ASSESSMENT OF SUGAR INTAKE - VALIDITY OF QUESTIONNAIRE METHOD,1966,Article,WOS:A19668680500017,Yes,DIET,UNSPECIFIED,DIET,,,,,,,,,2,5,Yes,2,Caffeine 
58,BASSETT DR, CIRCULATION, V34, P1088, 10.1161/01.CIR.34.6.1088,CARDIOVASCULAR DISEASE DIABETES MELLITUS AND ANTHROPOMETRIC EVALUATION OF POLYNESIAN MALES ON ISLAND OF NIIHAU-1963,1966,Article,WOS:A19668641500015,Yes,UNSPECIFIED,CHD|DIABETES,Unspecified CHD,,,,,,,,,1,3,Yes,3,Diet 
59,KERSHBAUM A, J AMER MED ASSOC, V195, P1095, 10.1001/JAMA.195.13.1095,DIFFERENCES IN EFFECTS OF CIGAR AND CIGARETTE SMOKING ON FREE FATTY ACID MOBILIZATION AND CATECHOLAMINE EXCRETION,1966,Article,WOS:A19667478200002,Yes,SMOKING,BLOOD LIPIDS,SMOKING|BLOOD LIPIDS,,,,,S,,,,1,2,Yes,8,Smoking
60,YUDKIN J, LANCET, V1, P930,,COFFEE AND CORONARY HEART-DISEASE,1966,Letter,WOS:A19667590700047,Yes,CAFFEINE,CHD,CAFFEINE,,,C,,,,,,1,3,Yes,2,Caffeine 
61,[ANONYMOUS], J AMER MED ASSOC, V198, P1362,,MARTYRED MEAL,1966,Editorial Material,WOS:A19668696400010,Yes,DIET,UNSPECIFIED,DIET,,,C,,,,,,0,2,Yes,2,Caffeine 
62,BELLET S, J AMER MED ASSOC, V196, P603,,CAFFEINE AND SERUM CHOLESTEROL,1966,Letter,WOS:A19667676500095,Yes,CAFFEINE,BLOOD LIPIDS,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,0,2,Yes,2,Caffeine 
63,BURNS L, AM J CLIN NUTR, V19, P370,,CONSUMPTION OF COFFEE AND TEA IN CANADA AND UNITED STATES,1966,Letter,WOS:A19668518400013,Yes,CAFFEINE,UNSPECIFIED,CAFFEINE,,,C,,,,,,0,4,Yes,2,Caffeine 
64,DUNN JP, JOM-J OCCUP MED, V8, P518,,PROSPECTIVE STUDY OF CORONARY HEART DISEASE IN AN INDUSTRIAL POPULATION,1966,Article,WOS:A1966ZC00100005,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,0,2,Yes,7,Psychosocial
65,FIDANZA F, NUTR DIETA, V8, P200,,DIETARY FAT OBESITY AND CORONARY HEART DISEASE,1966,Article,WOS:A19667933500005,Yes,DIET|BODY WEIGHT,CHD,DIET|BODY WEIGHT,,,,D,,,,BF,0,1,No,,
66,LOVELL RRH, J ATHEROSCLER RES, V6, P430, 10.1016/S0368-1319(66)80069-8,ATHEROSCLEROSIS IN FIJIANS AND INDIANS IN FIJI AND IN AUSTRALIANS,1966,Article,WOS:A19668255100003,Yes,UNSPECIFIED,CHD,Unspecified CHD,,BP,,,,,,,0,1,No,,
67,WESTLUND K, SCAND J CLIN LAB INV, VS 18, P1,,SERUM CHOLESTEROL AND RISK OF MORTALITY AND MORBIDITY - A 3 YEAR FOLLOW-UP OF 6866 MEN,1966,Article,WOS:A19667582700001,Inaccessible,,,,,,,,,,,,5,2,Yes,0,Serum cholesterol and Unspecified CHD 
68,KERSHBAUM A, GERIATRICS, V21, P155,,SMOKING AS A FACTOR IN ATHEROSCLEROSIS - A REVIEW OF EPIDEMIOLOGICAL PATHOLOGICAL AND EXPERIMENTAL STUDIES,1966,Article,WOS:A19668601300011,Inaccessible,,,,,,,,,,,,0,4,Yes,8,Smoking
69,NOIRET R, PATHOL BIOL, V14, P743,,ANATOMO-PATHOLOGICAL BIOLOGICAL AND CLINICAL BASES FOR TREATMENT OF CORONARY ATHEROMATOSIS WITH SEXUAL HORMONES,1966,Review,WOS:A19667956100014,Inaccessible,,,,,,,,,,,,0,2,Yes,0,Serum cholesterol and Unspecified CHD 
70,ZELLER W, Z GASTROENTEROL, V5, P84,,INFLUENCE OF COFFEIN ON FAT METABOLISM IN HEPATIC PATIENTS,1967,Article,WOS:A19679217500005,Foreign,,,,,,,,,,,,3,3,Yes,2,Caffeine 
71,HEYDEN S, ARCH KREISLAUFFORSCH, V53, P1, 10.1007/BF02119713,DIE BBC STUDIE - ANGEWANDTE EPIDEMIOLOGIE DER ISCHAMISCHEN HERZERKRANKUNGEN,1967,Article,WOS:A19679570700001,Foreign,,,,,,,,,,,,1,6,Yes,8,Smoking
72,FOLKERS K, INT Z VITAMINFORSCH, V37, P526,,VITAMIN DEFICIENCIES AND PERSPECTIVES ON COENZYME Q,1967,Article,WOS:A1967A490800020,Foreign,,,,,,,,,,,,0,1,No,,
73,VERDY M, REV CAN BIOL EXPTL, V26, P179,,EFFECT OF CAFEINE NICOTINE AND ETHANOL ON LIPOLYSIS IN HUMAN ADIPOSE TISSUE,1967,Article,WOS:A19679921600001,Foreign,,,,,,,,,,,,0,4,Yes,2,Caffeine 
74,YUDKIN J, CHEM IND-LONDON, P1464,,,WHY BLAME SUGAR,1967,Article,WOS:A19679820900002,Inaccessible,,,,,,,,,,,,1,3,Yes,2,Caffeine 
75,KANNEL WB, CIRCULATION, V35, P734, 10.1161/01.CIR.35.4.734,RELATION OF BODY WEIGHT TO DEVELOPMENT OF CORONARY HEART DISEASE - FRAMINGHAM STUDY,1967,Article,WOS:A19679180000013,Yes,BODY WEIGHT,CHD,BODY WEIGHT,,,,,,,,BF,33,1,Yes,1,Blood pressure and Unspecified CHD 
76,WALKER SH, BIOMETRIKA, V54, P167, 10.2307/2333860,ESTIMATION OF PROBABILITY OF AN EVENT AS A FUNCTION OF SEVERAL INDEPENDENT VARIABLES,1967,Article,WOS:A19679601200012,Yes,METHOD,UNSPECIFIED,,,,,,,,,,27,2,Yes,4,Body fatness and Unspecified CHD 
77,KEYS A, ACTA MED SCAND, VS, P8,,EPIDEMIOLOGICAL STUDIES RELATED TO CORONARY HEART DISEASE - CHARACTERISTICS OF MEN AGED 40-59 IN SEVEN COUNTRIES,1967,Article,WOS:A19678943200001,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,D,,,PA,,15,3,Yes,0,Serum cholesterol and Unspecified CHD 
78,YUDKIN J, AM J CLIN NUTR, V20, P503,,SUGAR INTAKE AND MYOCARDIAL INFARCTION,1967,Article,WOS:A19679404800016,Yes,DIET,CHD,DIET,,,C,,,,,,9,6,Yes,2,Caffeine 
79,LEVI L, ACTA MED SCAND, V181, P431,,EFFECT OF COFFEE ON FUNCTION OF SYMPATHOADRENOMEDULLARY SYSTEM IN MAN,1967,Article,WOS:A19679303400005,Yes,CAFFEINE,NERVOUS SYSTEM,CAFFEINE,,,C,,,,,,8,1,Yes,2,Caffeine 
80,MCGANDY RB, NEW ENGL J MED, V277, P186, 10.1056/NEJM196707272770405,DIETARY FATS CARBOHYDRATES AND ATHEROSCLEROTIC VASCULAR DISEASE,1967,Review,WOS:A19679653000005,Yes,DIET,CHD,DIET,SC,,,,,,,,8,7,Yes,3,Diet 
81,YOUNG W, NATURE, V216, P1015, 10.1038/2161015A0,TEA AND ATHEROSCLEROSIS,1967,Letter,WOS:A1967A293100031,Yes,CAFFEINE,CHD,CAFFEINE,,,C,,,,,,7,3,Yes,2,Caffeine 
82,EPSTEIN FH, J AMER MED ASSOC, V201, P795, 10.1001/JAMA.201.11.795,PREDICTING CORONARY HEART DISEASE,1967,Article,WOS:A19679872000001,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,,,6,4,Yes,1,Blood pressure and Unspecified CHD 
83,OSTRANDE.LD, ANN INTERN MED, V67, P34, 10.7326/0003-4819-67-1-34,HYPERGLYCEMIA AND HYPERTRIGLYCERIDEMIA AMONG PERSONS WITH CORONARY HEART DISEASE,1967,Article,WOS:A19679620600003,Yes,BLOOD GLUCOSE,CHD,Unspecified CHD,SC,BP,,,,,,,6,2,Yes,1,Blood pressure and Unspecified CHD 
84,LITTLE JA, AM J CLIN NUTR, V20, P133,,DIETARY CARBOHYDRATE AND FAT SERUM LIPOPROTEINS AND HUMAN ATHEROSCLEROSIS,1967,Meeting Abstract,WOS:A19678949600010,Yes,DIET,BLOOD LIPIDS|CHD,DIET|BLOOD LIPIDS,,,,,,,,,5,4,Yes,3,Diet 
85,LEBOVITS BZ, PSYCHOSOM MED, V29, P265, 10.1097/00006842-196705000-00004,PROSPECTIVE AND RETROSPECTIVE PSYCHOLOGICAL STUDIES OF CORONARY HEART DISEASE,1967,Article,WOS:A19679567700004,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,4,2,Yes,7,Psychosocial
86,MARKS RU, MILBANK FUND Q, V45, P51, 10.2307/3348939,FACTORS INVOLVING SOCIAL AND DEMOGRAPHIC CHARACTERISTICS - REVIEW OF EMPIRICAL FINDINGS,1967,Review,WOS:A1967ZL37200005,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,,,4,3,Yes,7,Psychosocial
87,AKINYANJU P, NATURE, V214, P426, 10.1038/214426B0,EFFECT OF COFFEE AND TEA ON SERUM LIPIDS IN RAT,1967,Letter,WOS:A19679232500067,Yes,CAFFEINE,BLOOD LIPIDS,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,3,4,Yes,2,Caffeine 
88,TAYLOR HL, CAN MED ASSOC J, V96, P825,,OCCUPATIONAL FACTORS IN STUDY OF CORONARY HEART DISEASE AND PHYSICAL ACTIVITY,1967,Meeting Abstract,WOS:A19679107300043,Yes,EXERCISE,CHD,EXERCISE,,,,,,,,,3,4,Yes,5,Physical activity 
